features__attributes__OBJECTID,features__attributes__Title,features__attributes__Type,features__attributes__IMDbLink,features__attributes__Address,features__attributes__Site,features__attributes__ShootDate,features__attributes__OriginalDetails,features__geometry__x,features__geometry__y,,,,,,,,,,,,,,,,,exceededTransferLimit
4569,Albuquerque Economic Development,Commerical by Production Outfitters,na,901 Rio Grande Boulevard NW,Lavu Inc interior,1347321600000,LAVU - interior only,-106.670739971778,35.1024187079612,,,,,,,,,,,,,,,,,
4570,Albuquerque Economic Development,Commerical by Production Outfitters,na,10421 Research Road SE ,Heel Inc,1347408000000,Heel - 10421 Research Rd. SE ,-106.530593093735,35.0554094854474,,,,,,,,,,,,,,,,,
4571,Albuquerque Economic Development,Commerical by Production Outfitters,na,1313 Goddard Street SE,UNM Center for High Technology Materials ,1347408000000,UNM Center for High Technology Materials ,-106.635105171693,35.0696168051951,,,,,,,,,,,,,,,,,
4572,Albuquerque Economic Development,Commerical by Production Outfitters,na,733 Chavez Road NW,Casa Rondena Winery,1347408000000,Casa Rondena,-106.647192495219,35.1545804893737,,,,,,,,,,,,,,,,,
4573,Albuquerque Economic Development,Commerical by Production Outfitters,na,1324 Alameda Boulevard NW,Alameda Boulevard Bridge,1347494400000,Alameda Bridge - Bernalillo County,-106.639106155679,35.1955548498405,,,,,,,,,,,,,,,,,
4574,Albuquerque Economic Development,Commerical by Production Outfitters,na,400 Gold Avenue SW,Simms Building,1347494400000,Simms Building - 400 Gold Avenue SW,-106.651832215508,35.0835442028527,,,,,,,,,,,,,,,,,
4575,Albuquerque Economic Development,Commerical by Production Outfitters,na,6301 Jefferson Street NE,Lowes Call Center,1347494400000,Lowe's call center,-106.593264938982,35.1528440268043,,,,,,,,,,,,,,,,,
4576,All in a Days Work,Movie,http://www.imdb.com/title/tt2979966/,202 Romero Street NW,Old Town area,1350691200000,Old Town,-106.670472635844,35.0959319473343,,,,,,,,,,,,,,,,,
4577,All in a Days Work,Movie,http://www.imdb.com/title/tt2979966/,1 Trailhead Road NE,Embudito Canyon Open Space,1351296000000,Embudito Canyon Open Space,-106.483884181729,35.1358742485546,,,,,,,,,,,,,,,,,
4578,All in a Days Work,Movie,http://www.imdb.com/title/tt2979966/,202 Romero Street NW,Old Town area,1351296000000,Old Town,-106.670472635844,35.0959319473343,,,,,,,,,,,,,,,,,
4579,All in a Days Work,Movie,http://www.imdb.com/title/tt2979966/,202 Romero Street NW,Old Town area,1351900800000,Old Town,-106.670472635844,35.0959319473343,,,,,,,,,,,,,,,,,
